DBS0236830	abolished protein localization to plasma membrane	during cAMP stimulation		17606871	abnormal translocation of CRAC (dagA) to front of cell and slow translocation
DBS0236830	decreased chemotaxis to cAMP			17623773	
DBS0236830	decreased actin filament polymerization			17623773	
DBS0236830	decreased lateral pseudopodium retraction			17623773	Frequency of lateral pseudopod formation increased by 40%
DBS0236830	decreased cell motility			17623773	
DBS0236830	decreased growth rate	in suspension		12062103	Doubling time 25 hr (compared to 11 h for parental strain)
DBS0236830	increased protein localization to plasma membrane			12062103	5 times more of the perimeter of the cell is covered by PH-CRAC-GFP (dagA-GFP) compared to the parental cell
DBS0236830	increased actin filament polymerization			12062103	
DBS0236830	increased pseudopodium formation			12062103	
DBS0236830	abolished aggregation			12062103	does not develop on bacterial lawn or non-nutrient agar; some eventually form few, tiny deformed multicellular structures
DBS0236830	decreased chemotaxis to cAMP			12062103	
DBS0236830	decreased positive regulation of GTPase activity			15534002	decreased regulation of Ras signaling
DBS0236830	aberrant pseudopodium formation			15534002	abolished formation of multiple pseudopodia
DBS0236830	abolished protein localization to plasma membrane			15534002	abolished PhdA accumulation at the plasma membrane
DBS0236830	decreased phagocytosis			15572406	in pten- cells, significant decrease in phagocytosis of yeast particles compared to wt; no difference in uptake of bacteria
DBS0236830	aberrant signal transduction			20562345	abolished phosphatidylinositol-mediated signaling
DBS0236830	abolished positive regulation of chemorepellant activity			30462573	pten- cells do not chemorepulse from a source of AprA as do wt cells
DBS0236830	decreased response to Gram-negative bacterium			23664307	pten mutant cells have a reduced growth on Gram-negative bacteria compared to wild type
DBS0236830	decreased bleb assembly			26317626	pten- cells extended blebs less frequently than wt
DBS0236426	aberrant inositol phosphate metabolic process			24416420	in I6KA- cells, lack of diphosphoinositol pentakisphosphate (IP7) and bisdiphosphoinositoltetrakisphosphate (IP8)
DBS0236426	increased growth rate			27519410	in I6KA- cells, proliferation to abnormally high cell densities
DBS0236426	aberrant cellular homeostasis			27519410	in I6KA- cells, decreased extracellular polyphosphate accumulation
DBS0236896	decreased chemotaxis rate			8793298	
DBS0236896	abolished aggregation			8793298	
DBS0236896	abolished activation of adenylate cyclase activity			8793298	
DBS0236896	decreased actin filament polymerization	during cAMP stimulation		8793298	first peak of actin polymerization was almost normal, but the second peak was diminished [strain ID: 152, parent: DH1]
DBS0236896	decreased cGMP-mediated signaling			10473630	
DBS0236896	decreased gene expression		real time PCR	23473502	in acaA- cells, significantly reduced level of pdsA expression compared with wt
DBS0236896	decreased activation of GTPase activity			15534002	in gefA- cells, the level of Ras activation is significantly reduced compared with wt cells
DBS0236896	increased protein kinase activation			9020088	in gefA null cells, higher level of ERK2 activity with more rapid and extended ERK2 activation
DBS0236440	wild type			8382181	no developmental defect identified
DBS0236436	abolished aggregation			8793298	
DBS0236455	delayed aggregation		fruiting body development	1648967	1-3 hours delayed
DBS0236831	wild type			12062103	all phenotypes of the pten- cells were reversed by expression of pten cDNA
DBS0236464	increased cell-substrate adhesion	during starvation		25247557	slight increase in adhesion when carA- cells were starved for 5 hr in comparison to wt, where substrate adhesion is strongly reduced at this point.
