DBS0236426	d7657
DBS0236895	d5018
DBS0236896	d5494
DBS0236436	d5494
DBS0236455	d3931
DBS0236831	d7307
DBS0237017	d6576
DBS0235560	d5509
DBS0237092	d7105
DBS0237018	d6576
DBS0235945	d7345
DBS0236206	d1440
DBS0235609	d5717
DBS0236617	d1985
DBS0236866	d4643
DBS0236620	d1985
DBS0236621	d1985
DBS0236626	d1985
DBS0236630	d1985
DBS0236685	d1985
DBS0236686	d1985
DBS0235551	d0876
DBS0235558	d1410
DBS0235558	d0806
DBS0237086	d1469
DBS0237086	d2021
DBS0236624	d1985
DBS0236651	d1143
DBS0236142	d5827
DBS0236673	d1985
DBS0236290	d6195
DBS0236663	d1143
DBS0236214	d1095
DBS0236214	d6943
DBS0236214	d1099
DBS0236222	d1099
DBS0236275	d5453
DBS0236272	d5453
DBS0236270	d5453
DBS0236279	d4044
DBS0236622	d1985
DBS0237075	d1143
DBS0237075	d4865
DBS0236327	d0057
DBS0236198	d1985
DBS0236198	d1469
DBS0236648	d1381
DBS0236648	d1653
DBS0236648	d2837
DBS0237082	d1143
DBS0236687	d1985
DBS0236401	d2024
DBS0236672	d1143
DBS0236672	d4865
DBS0236200	d1985
DBS0236200	d1469
DBS0236284	d1643
DBS0236284	d1660
DBS0236284	d4044
DBS0236668	d1985
DBS0236693	d1985
DBS0236619	d1985
DBS0236530	d4725
DBS0236496	d3232
DBS0236496	d1143
DBS0236496	d4865
DBS0237085	d1381
DBS0237085	d1288
DBS0236660	d1143
DBS0236660	d4865
DBS0236637	d1469
DBS0236637	d2031
DBS0237074	d1288
DBS0236443	d6570
DBS0236443	15470262
DBS0236443	15470262
DBS0235759	d1301
DBS0236689	d1985
DBS0235559	d6158
DBS0235559	d5226
DBS0235559	d5045
DBS0235559	d4855
DBS0236876	d5590
DBS0236456	d4695
DBS0236488	d4825
DBS0236488	d4785
DBS0236396	d3328
DBS0236645	d1143
DBS0236645	d4865
DBS0236398	d3325
DBS0236398	d4725
DBS0236674	d1143
DBS0236674	d4865
DBS0236618	d1985
DBS0236653	d1143
DBS0236653	d4865
DBS0236395	d0005
DBS0236395	d0004
DBS0236652	d1985
