Strain ID	Plasmid ID
DBS0305087	1
DBS0236708	2
DBS0236715	3
DBS0236716	3
DBS0236715	4
DBS0266620	9
DBS0267124	9
DBS0309109	9
DBS0348919	9
DBS0236839	10
DBS0349901	10
DBS0235944	10
DBS0236374	11
DBS0236378	11
DBS0237096	11
DBS0237018	20
DBS0235610	21
DBS0237198	25
DBS0302381	25
DBS0302382	25
DBS0302383	25
DBS0302384	25
DBS0302385	25
DBS0304716	28
DBS0236457	29
DBS0237176	31
DBS0237177	31
DBS0237178	31
DBS0237175	31
DBS0235678	32
DBS0235664	32
DBS0237087	33
DBS0236941	33
DBS0238263	34
DBS0238463	34
DBS0238461	34
DBS0236589	41
DBS0236085	41
DBS0236095	41
DBS0235940	41
DBS0236177	41
DBS0236178	41
DBS0236179	41
DBS0236180	41
DBS0236947	41
DBS0349904	41
DBS0236539	41
DBS0266668	41
DBS0236889	41
DBS0236425	41
DBS0350021	41
DBS0236736	41
DBS0236503	41
DBS0237924	41
DBS0237996	41
DBS0237997	41
DBS0350013	41
DBS0236081	41
DBS0236082	41
DBS0266723	41
DBS0266763	41
DBS0266764	41
DBS0266765	41
DBS0302472	41
DBS0302473	41
DBS0349798	46
DBS0349802	46
DBS0237007	46
DBS0238265	46
DBS0349809	46
DBS0236459	46
DBS0237000	46
DBS0349811	47
DBS0349989	49
DBS0238460	51
DBS0238464	51
DBS0238458	51
DBS0349799	51
DBS0349803	51
DBS0349810	51
DBS0350014	52
DBS0350015	52
DBS0350016	52
DBS0350018	52
DBS0236709	54
DBS0236141	54
DBS0236142	54
DBS0236725	55
DBS0236924	58
DBS0238591	58
DBS0236435	58
DBS0236926	58
DBS0304615	63
DBS0304616	63
DBS0304617	63
DBS0235473	63
DBS0304613	63
DBS0236831	66
DBS0237092	72
DBS0236899	73
DBS0304410	74
DBS0304424	74
DBS0304425	74
DBS0235580	74
DBS0235581	74
DBS0235579	74
DBS0235582	74
DBS0235583	74
DBS0236769	77
DBS0236767	78
DBS0252578	87
DBS0237088	88
DBS0235564	93
DBS0236951	97
DBS0235649	102
DBS0235899	103
DBS0237205	103
DBS0349861	103
DBS0237210	103
DBS0350070	103
DBS0349929	103
DBS0237216	103
DBS0237211	103
DBS0237212	103
DBS0237215	103
DBS0237214	103
DBS0237213	103
DBS0237204	103
DBS0235948	103
DBS0235444	103
DBS0235445	103
DBS0238225	103
DBS0238605	103
DBS0236982	103
DBS0236983	103
DBS0236306	103
DBS0238234	103
DBS0238235	103
DBS0236282	108
DBS0236710	110
DBS0236711	110
DBS0236712	110
DBS0236713	110
DBS0236714	110
DBS0349849	110
DBS0349858	110
DBS0237123	110
DBS0236760	110
DBS0348920	111
DBS0238390	111
DBS0238391	111
DBS0237150	111
DBS0235963	111
DBS0235964	111
DBS0235488	111
DBS0348921	111
DBS0348922	111
DBS0235719	113
DBS0237220	113
DBS0237273	118
DBS0306102	118
DBS0236851	118
DBS0237247	118
DBS0238036	120
DBS0238037	120
DBS0238459	124
DBS0238465	124
DBS0238268	124
DBS0238267	124
DBS0236452	127
DBS0236453	127
DBS0236348	178
DBS0309071	178
DBS0236349	179
DBS0236352	182
DBS0236354	182
DBS0236355	182
DBS0236376	182
DBS0236339	183
DBS0236341	183
DBS0236342	183
DBS0236343	183
DBS0236912	198
DBS0236913	198
DBS0237172	198
DBS0237168	198
DBS0237169	198
DBS0237170	198
DBS0237171	198
DBS0237173	198
DBS0238158	198
DBS0238159	198
DBS0237193	199
DBS0237201	201
DBS0304532	201
DBS0236347	202
DBS0236371	202
DBS0236344	202
DBS0236372	202
DBS0236340	202
DBS0305080	204
DBS0305081	204
DBS0305082	204
DBS0305083	204
DBS0305084	204
DBS0305085	204
DBS0305086	204
DBS0237233	206
DBS0237234	206
DBS0236311	207
DBS0238749	207
DBS0236542	213
DBS0236938	213
DBS0236904	215
DBS0236905	216
DBS0235494	221
DBS0235544	221
DBS0236005	228
DBS0236911	228
DBS0237025	228
DBS0237089	228
DBS0237090	228
DBS0236939	228
DBS0236233	230
DBS0236231	230
DBS0235665	230
DBS0236513	230
DBS0236929	230
DBS0236756	230
DBS0236368	233
DBS0236958	233
DBS0236257	233
DBS0236258	239
DBS0236288	239
DBS0236289	239
DBS0236952	239
DBS0236290	239
DBS0237056	239
DBS0236900	249
DBS0236853	250
DBS0236854	251
DBS0235537	263
DBS0235548	263
DBS0237042	263
DBS0349870	266
DBS0236950	267
DBS0235589	268
DBS0236115	271
DBS0349944	298
DBS0236765	307
DBS0349903	310
DBS0237109	310
DBS0349949	310
DBS0237015	310
DBS0237016	310
DBS0236994	311
DBS0236995	311
DBS0237631	316
DBS0236331	346
DBS0305672	349
DBS0266700	349
DBS0266701	349
DBS0266702	349
DBS0349730	349
DBS0237116	356
DBS0236075	356
DBS0237100	356
DBS0237101	356
DBS0237191	356
