DBS ID	DDPHENO_ID	PHENOTYPE_TERM	NOTE	DDENVIR_ID	ENVIRONMENT_TERM
DBS0235407	DDPHENO:0001103	decreased culmination			
DBS0235410	DDPHENO:0000446	aberrant mound color	yellow mounds		
DBS0235411	DDPHENO:0000446	aberrant mound color	yellow mounds		
DBS0235418	DDPHENO:0001080	abolished aggregation			
DBS0235429	DDPHENO:0001080	abolished aggregation			
DBS0235454	DDPHENO:0001080	abolished aggregation			
DBS0235460	DDPHENO:0001080	abolished aggregation			
DBS0235461	DDPHENO:0000483	aberrant aggregation	loose mounds		
DBS0235463	DDPHENO:0000158	decreased aggregate size	tight mound		
DBS0235465	DDPHENO:0001055	increased number of tips in mound			
DBS0235466	DDPHENO:0000165	increased stalk length			
DBS0235468	DDPHENO:0001080	abolished aggregation			
DBS0235493	DDPHENO:0000109	increased cell-cell adhesion			
DBS0235495	DDPHENO:0000162	delayed development			
DBS0235515	DDPHENO:0001080	abolished aggregation			
DBS0235538	DDPHENO:0001080	abolished aggregation			
DBS0235555	DDPHENO:0000036	increased number of tips			
DBS0235557	DDPHENO:0000036	increased number of tips	
DBS0235559	DDPHENO:0001080	abolished aggregation			
DBS0235560	DDPHENO:0000394	decreased growth rate			
DBS0235562	DDPHENO:0001080	abolished aggregation			
DBS0235570	DDPHENO:0001080	abolished aggregation			
DBS0235609	DDPHENO:0000162	delayed development			
DBS0235609	DDPHENO:0000394	decreased growth rate			
DBS0235612	DDPHENO:0001080	abolished aggregation			
DBS0235624	DDPHENO:0000111	increased aggregate size			
DBS0235624	DDPHENO:0000518	increased stalk width			
DBS0235624	DDPHENO:0001415	increased fruiting body size			
DBS0235635	DDPHENO:0000207	increased standing slug length			
DBS0235654	DDPHENO:0001014	aberrant slug formation	small migrating pseudoplasmodia		
DBS0235654	DDPHENO:0001014	aberrant slug formation	small migrating pseudoplasmodia		
DBS0235655	DDPHENO:0000004	decreased slug size			
DBS0235657	DDPHENO:0000009	aberrant fruiting body morphology			
DBS0235661	DDPHENO:0000009	aberrant fruiting body morphology			
DBS0235661	DDPHENO:0000424	abolished sporulation			
DBS0235666	DDPHENO:0000158	decreased aggregate size			
DBS0235670	DDPHENO:0000383	decreased stalk length			
DBS0235678	DDPHENO:0000158	decreased aggregate size	tiny aggregates, yellow		
DBS0235682	DDPHENO:0000002	aberrant standing slug morphology		
DBS0235683	DDPHENO:0000165	increased stalk length			
DBS0235689	DDPHENO:0000383	decreased stalk length			
DBS0235689	DDPHENO:0000504	decreased sporulation			
DBS0235692	DDPHENO:0000002	aberrant standing slug morphology			
DBS0235891	DDPHENO:0000002	aberrant standing slug morphology	
DBS0235895	DDPHENO:0000262	decreased prestalk 0 cell differentiation			
DBS0235899	DDPHENO:0000262	decreased prestalk 0 cell differentiation			
DBS0235945	DDPHENO:0001080	abolished aggregation			
DBS0235950	DDPHENO:0000483	aberrant aggregation	tight mound		
DBS0235951	DDPHENO:0000445	increased slug migration			
DBS0235953	DDPHENO:0000165	increased stalk length			
DBS0235974	DDPHENO:0000483	aberrant aggregation	tight mound		
DBS0235986	DDPHENO:0001080	abolished aggregation			
DBS0236000	DDPHENO:0000099	decreased chemotaxis rate			
DBS0236006	DDPHENO:0000167	precocious development			
DBS0236070	DDPHENO:0000394	decreased growth rate			
DBS0236111	DDPHENO:0000019	abolished culmination			
DBS0236128	DDPHENO:0001080	abolished aggregation			
DBS0236132	DDPHENO:0001080	abolished aggregation			
DBS0236133	DDPHENO:0001080	abolished aggregation			
DBS0236134	DDPHENO:0001080	abolished aggregation			
DBS0236135	DDPHENO:0001080	abolished aggregation			
DBS0236136	DDPHENO:0001080	abolished aggregation			
DBS0236137	DDPHENO:0001080	abolished aggregation			
DBS0236138	DDPHENO:0001080	abolished aggregation			
DBS0236139	DDPHENO:0001080	abolished aggregation			
DBS0236140	DDPHENO:0001080	abolished aggregation			
DBS0236150	DDPHENO:0001080	abolished aggregation			
DBS0236151	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0236159	DDPHENO:0000394	decreased growth rate			
DBS0236192	DDPHENO:0001080	abolished aggregation			
DBS0236194	DDPHENO:0000167	precocious development			
DBS0236208	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236211	DDPHENO:0000165	increased stalk length			
DBS0236214	DDPHENO:0000165	increased stalk length			
DBS0236216	DDPHENO:0000165	increased stalk length			
DBS0236219	DDPHENO:0000165	increased stalk length			
DBS0236220	DDPHENO:0000162	delayed development			
DBS0236221	DDPHENO:0000154	aberrant development			
DBS0236222	DDPHENO:0000165	increased stalk length			
DBS0236225	DDPHENO:0000165	increased stalk length			
DBS0236227	DDPHENO:0000165	increased stalk length			
DBS0236230	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236233	DDPHENO:0000145	decreased spore viability			
DBS0236236	DDPHENO:0000145	decreased spore viability			
DBS0236237	DDPHENO:0000145	decreased spore viability			
DBS0236239	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236241	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236243	DDPHENO:0000165	increased stalk length			
DBS0236244	DDPHENO:0000165	increased stalk length			
DBS0236245	DDPHENO:0000165	increased stalk length			
DBS0236247	DDPHENO:0000165	increased stalk length			
DBS0236250	DDPHENO:0000165	increased stalk length			
DBS0236251	DDPHENO:0000165	increased stalk length			
DBS0236253	DDPHENO:0000165	increased stalk length			
DBS0236256	DDPHENO:0000483	aberrant aggregation	loose mounds		
DBS0236258	DDPHENO:0000032	increased sporulation			
DBS0236260	DDPHENO:0000077	decreased fruiting body size			
DBS0236263	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236263	DDPHENO:0000158	decreased aggregate size	tight mound		
DBS0236263	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0236265	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236265	DDPHENO:0000158	decreased aggregate size	tight mound		
DBS0236265	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0236268	DDPHENO:0000165	increased stalk length			
DBS0236269	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236270	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236271	DDPHENO:0000158	decreased aggregate size	tight mound		
DBS0236271	DDPHENO:0000167	precocious development			
DBS0236272	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236273	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236273	DDPHENO:0000158	decreased aggregate size	tight mound		
DBS0236273	DDPHENO:0000163	aberrant spore morphology	round spores		
DBS0236275	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236278	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236279	DDPHENO:0000003	increased slug length			
DBS0236279	DDPHENO:0000165	increased stalk length			
DBS0236280	DDPHENO:0000003	increased slug length			
DBS0236280	DDPHENO:0000165	increased stalk length			
DBS0236281	DDPHENO:0000483	aberrant aggregation	tight mound, sensitive		
DBS0236283	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236284	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236284	DDPHENO:0000032	increased sporulation			
DBS0236284	DDPHENO:0000167	precocious development			
DBS0236285	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236285	DDPHENO:0000483	aberrant aggregation	tight mound		
DBS0236286	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236289	DDPHENO:0000165	increased stalk length			
DBS0236290	DDPHENO:0000445	increased slug migration			
DBS0236292	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236292	DDPHENO:0000154	aberrant development			
DBS0236293	DDPHENO:0000154	aberrant development			
DBS0236294	DDPHENO:0000154	aberrant development			
DBS0236295	DDPHENO:0000001	aberrant spore color	white spores		
DBS0236295	DDPHENO:0000154	aberrant development			
DBS0236298	DDPHENO:0000483	aberrant aggregation	tight mound		
DBS0236300	DDPHENO:0000483	aberrant aggregation	loose mounds		
DBS0236301	DDPHENO:0000483	aberrant aggregation	tight mound		
DBS0236304	DDPHENO:0000193	abolished DIF production			
DBS0236304	DDPHENO:0001080	abolished aggregation			
DBS0236305	DDPHENO:0000193	abolished DIF production			
DBS0236305	DDPHENO:0001080	abolished aggregation			
DBS0236306	DDPHENO:0000193	abolished DIF production			
DBS0236306	DDPHENO:0001080	abolished aggregation			
DBS0236307	DDPHENO:0000193	abolished DIF production			
DBS0236307	DDPHENO:0001080	abolished aggregation			
DBS0236308	DDPHENO:0000193	abolished DIF production			
DBS0236308	DDPHENO:0001080	abolished aggregation			
DBS0236310	DDPHENO:0001080	abolished aggregation			
DBS0236324	DDPHENO:0001080	abolished aggregation			
DBS0236325	DDPHENO:0001080	abolished aggregation			
DBS0236326	DDPHENO:0001080	abolished aggregation			
DBS0236327	DDPHENO:0001080	abolished aggregation			
DBS0236328	DDPHENO:0001080	abolished aggregation			
DBS0236329	DDPHENO:0000165	increased stalk length			
DBS0236334	DDPHENO:0000165	increased stalk length			
DBS0236339	DDPHENO:0000165	increased stalk length			
DBS0236342	DDPHENO:0000165	increased stalk length			
DBS0236346	DDPHENO:0001080	abolished aggregation			
DBS0236347	DDPHENO:0001080	abolished aggregation			
DBS0236349	DDPHENO:0000165	increased stalk length			
DBS0236354	DDPHENO:0000165	increased stalk length			
DBS0236367	DDPHENO:0000504	decreased sporulation			
DBS0236369	DDPHENO:0000165	increased stalk length			
DBS0236370	DDPHENO:0000165	increased stalk length			
DBS0236376	DDPHENO:0000165	increased stalk length			
DBS0236377	DDPHENO:0001080	abolished aggregation			
DBS0236391	DDPHENO:0000167	precocious development			
DBS0236392	DDPHENO:0000167	precocious development			
DBS0236393	DDPHENO:0000167	precocious development			
DBS0236394	DDPHENO:0000167	precocious development			
DBS0236395	DDPHENO:0000077	decreased fruiting body size			
DBS0236395	DDPHENO:0000167	precocious development			
