DBS0236830	abolished CRAC localization to the plasma membrane	cAMP stimulation		17606871	abnormal translocation to front of cell and slow translocation
DBS0236830	decreased chemotaxis to cAMP			17623773	
DBS0236830	decreased F-actin polymerization			17623773	
DBS0236830	decreased lateral pseudopod suppression			17623773	Frequency of lateral pseudopod formation increased by 40%
DBS0236830	increased lateral pseudopod formation			17623773	Frequency of lateral pseudopod formation increased by 40%
DBS0236830	decreased cell motility			17623773	
DBS0236830	decreased growth rate	in suspension		12062103	Doubling time 25 hr (compared to 11 h for parental strain)
DBS0236830	increased CRAC localization to the plasma membrane			12062103	5 times more of the perimeter of the cell is covered by PH-CRAC-GFP compared to the parental cell
DBS0236830	increased F-actin polymerization			12062103	
DBS0236830	increased pseudopod formation			12062103	
DBS0236830	abolished aggregation			12062103	does not develop on bacterial lawn or non-nutrient agar; some eventually form few, tiny deformed multicellular structures
DBS0236830	decreased chemotaxis to cAMP			12062103	
DBS0236896	decreased chemotaxis rate			8793298	[strain ID: 152, parent: DH1]
DBS0236896	abolished aggregation			8793298	[strain IDs: 154, 152, parent: DH1]
DBS0236896	decreased cAMP-induced cAMP pulse			8793298	[strain ID: 152, parent: DH1]
DBS0236896	abolished activation of adenylate cyclase			8793298	[strain ID: 152, parent: DH1]
DBS0236896	decreased chemoattractant-mediated F-actin polymerization			8793298	First peak of actin polymerization was almost normal, but the second peak was diminished [strain ID: 152, parent: DH1]
DBS0236896	decreased cAMP-induced cGMP pulse			10473630	[strain ID: 152, parent: DH1]
DBS0236896	decreased gene expression		real time PCR	23473502	in acaA- cells, significantly reduced level of pdsA expression compared with wt
DBS0236436	abolished aggregation			8793298	[strain IDs: 154, 152, parent: DH1]
DBS0236831	wild type			12062103	all phenotypes of the pten- cells were reversed by expression of pten cDNA
DBS0236767	aberrant activation of adenylate cyclase activity			9389653	[strain ID: 158, parent: DH1]
DBS0237017	decreased cell motility			11157987	This results in the formation of small plaques on bacteria [strain ID: 160, parent: AX3]. Rescued by overexpression of mekA [strain #1975, parent: torA-]
DBS0237017	delayed aggregation			11157987	[strain ID: 160, parent: AX3]; rescued by overexpression of mekA [strain #1975, parent: torA-]
DBS0237017	decreased chemotaxis rate			11157987	[strain ID: 160, parent: AX3]; rescued by overexpression of mekA [strain #1975, parent: torA-]
DBS0237017	decreased growth rate			11157987	On bacteria [strain ID: 160, parent: AX3]; rescued by overexpression of mekA [strain #1975, parent: torA-]
