DDB_G0268306	Pascale Gaudet	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates ([/ontology/go/0003899/annotation/page/1 DNA-directed RNA polymerase activity]). Three distinct zinc-containing RNA polymerases are found in eukaryotic nuclei: [/gene/DDB_G0275759 rpa1] for the ribosomal RNA precursor ([/ontology/go/0006360/annotation/page/1 transcription from RNA polymerase I promoter]), ([/ontology/go/0005736/annotation/page/1 DNA-directed RNA polymerase I complex]), [/gene/DDB_G0279193 rpb1] for the mRNA precursor ([/ontology/go/0006366/annotation/page/1 transcription from RNA polymerase II promoter]), ([/ontology/go/0005665/annotation/page/1 DNA-directed RNA polymerase II, core complex]), and [/gene/DDB_G0277199 rpc1] for 5S and tRNA genes ([/ontology/go/0006383/annotation/page/1 transcription from RNA polymerase III promoter]), ([/ontology/go/0005666/annotation/page/1 DNA-directed RNA polymerase III complex]).<br />RNA polymerase II is composed of 12 subunits: [/gene/DDB_G0279193 rpb1], [/gene/DDB_G0288257 rpb2], [/gene/DDB_G0292244 rpb3], [/gene/DDB_G0282739 rpb4], [/gene/DDB_G0291636 rpb5], [/gene/DDB_G0291037 rpb6], [/gene/DDB_G0284891 rpb7], [/gene/DDB_G0278039 rpb8], [/gene/DDB_G0268306 rpb9], [/gene/DDB_G0272036 rpb10], [/gene/DDB_G0277677 rpb11], and[/gene/DDB_G0283365 rpb12]. Subunits 5, 6, 8, 10, and 12 are common to all threeRNA polymerases (reviewed by [http://www.ncbi.nlm.nih.gov/pubmed/9618449 Hampsey] in 1998). <br />Gene has been comprehensively annotated, 09-APR-2004 PG
DDB_G0268198	Pascale Gaudet	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates ([/ontology/go/0003899/annotation/page/1 DNA-directed RNA polymerase activity]). Three distinct zinc-containing RNA polymerases are found in eukaryotic nuclei: [/gene/DDB_G0275759 rpa1] for the ribosomal RNA precursor ([/ontology/go/0006360/annotation/page/1 transcription from RNA polymerase I promoter]), ([/ontology/go/0005736/annotation/page/1 DNA-directed RNA polymerase I complex]), [/gene/DDB_G0279193 rpb1] for the mRNA precursor ([/ontology/go/0006366/annotation/page/1 transcription from RNA polymerase II promoter]), ([/ontology/go/0005665/annotation/page/1 DNA-directed RNA polymerase II, core complex]), and [/gene/DDB_G0277199 rpc1] for 5S and tRNA genes ([/ontology/go/0006383/annotation/page/1 transcription from RNA polymerase III promoter]), ([/ontology/go/0005666/annotation/page/1 DNA-directed RNA polymerase III complex]).<br />RNA polymerase I is a multisubunit complex. The subunits encoded by [/gene/DDB_G0275759 rpa1] (ortholog of ''S. cerevisiae RPA190''), [/gene/DDB_G0288449 rpc2] (''RPA135''), [/gene/DDB_G0268198 rpa43] (''RPA43''), [/gene/DDB_G0290909 rpa49] (''RPA49''), and [/gene/DDB_G0278263 rpa12] (''RPA12'') are unique to RNA polymerase I. Two subunits, [/gene/DDB_G0291362 rpc19] and [/gene/DDB_G0282339 rpa5] (''RPC19'' and ''RPC40'' in ''S. cerevisiae''), are common to RNA polymerase I and RNA polymerase III and correspond to subunits 3 and 11 of RNA polymerase II. Subunits [/gene/DDB_G0291636 rpb5], [/gene/DDB_G0291037 rpb6], [/gene/DDB_G0278039 rpb8], [/gene/DDB_G0272036 rpb10], and [/gene/DDB_G0283365 rpb12] are common to all three RNA polymerases. Yeast has two additional subunits, ''RPA34'' and ''RPA14'', that do not have clear orthologs in other species, including in ''Dictyostelium'' ([http://www.ncbi.nlm.nih.gov/pubmed/12407181 Peyroche et al. 2002], [http://www.ncbi.nlm.nih.gov/pubmed/12381659 Schramm and Hernandez 2001]).Gene has been comprehensively annotated, 13-APR-2004 PG
DDB_G0268642	Karen Kestin	Initiation of protein translation in eukaryotes is regulated by phosphorylation of the alpha subunit of eukaryotictranslation initiation factor 2 (eIF2alpha). During periods of amino acid starvation, eIF2alpha is inactivated viaphosphorylation by the serine/threonine kinase ([/ontology/go/0004674/annotation/page/1 protein serine/threonine kinase activity]) GCN2 (general control nonderepressible), also known asPEK (pancreatic eukaryotic translation initiation factor kinase). The PEK family of protein kinases is highly conservedfrom yeast to humans, however, the effect on translation in metazoans is global whereas GCN2 in yeast acts to inhibittranslation of specific species of mRNA ([http://www.ncbi.nlm.nih.gov/pubmed/7855893  reviewed in Wek 1994]).<br />In ''Dictyostelium'', two members of the PEK family of protein kinases have been identified: [/gene/DDB_G0272837 ifkA] and[/gene/DDB_G0276829 ifkB]. Putative proteins belonging to the PEK family are: [/gene/DDB_G0276043 ifkC], [/gene/DDB_G0283065 DDB_G0283065], [/gene/DDB_G0268642 DDB_G0268642], [/gene/DDB_G0292734 DDB_G0292734], and [/gene/DDB_G0292734 DDB_G0292734].Gene has been comprehensively annotated, 17-SEP-2004 KP
DDB_G0268020	Petra Fey	The oxidative decarboxylation of alpha-keto acids in the catabolism of the branched-chain amino acids (isoleucine, leucine, and valine), is catalyzed by the branched-chain alpha-keto acid dehydrogenase complex. This mitochondrial enzyme contains 3 catalytic components, E1, E2, and E3. E1 is a heterotetrameric alpha2 ([/gene/DDB_G0286335 bkdA]), beta2 ([/gene/DDB_G0268020 bkdB]) enzyme, with 3-methyl-2-oxobutanoate dehydrogenase activity ().<br /> E2 is a homo-24-meric dihydrolipoyl transacylase ([/gene/DDB_G0281797 bkdC]) that forms the core of the multienzyme and binds to both E1 and E3 ([/ontology/go/5515/annotation/page/1 protein binding]). The lipoyl group of E2 is reductively 2-methylpropanoylated by E1, and then passes this 2-methylpropanoyl to coenzyme A ([/ontology/go/8415/annotation/page/1 acyltransferase activity]). In addition to the 2-methylpropanoyl group, formed when E1 acts on the oxoacid that corresponds with valine, this enzyme also transfers the 3-methylbutanoyl and S-2-methylbutanoyl groups when E1 acts on the oxoacids corresponding with leucine and isoleucine, respectively.<br />The E3 enzyme ([/gene/DDB_G0291648 lpd]) is adihydrolipoyl dehydrogenase ([/ontology/go/4148/annotation/page/1 dihydrolipoyl dehydrogenase activity]) that is shared by three 2-oxo acid dehydrogenase multienzyme complexes. These include the pyruvate dehydrogenase complex, the 2-oxoglutarate dehydrogenase complex, the glycine cleavage system, and the branched-chain 2-oxo acid dehydrogenase complex.Gene has been comprehensively annotated, 02-DEC-2004 PF
DDB_G0271842	Petra Fey	 Succinyl-CoA synthetase (SCS) is an enzyme in the [/ontology/go/0006099/annotation/page/1 tricarboxylic acid cycle] that catalyzes the formation of succinyl-CoA from succinate with the concomitant hydrolysis of NTP to NDP and phosphate. There are two forms of the enzyme, using either ATP or GTP. The [/gene/DDB_G0289325 scsA] gene encodes the succinyl-CoA synthetase alpha subunit. In eukaryotes one alpha and one beta subunit are thought to form a heterodimer. Anschutzt ''et al.'' determined that in crude [/ontology/go/0016020/annotation/page/1 membrane] extracts ScsA could be phosphorylated by ATP and GTP, but the purified enzyme showed high specificity for GTP ([http://www.ncbi.nlm.nih.gov/pubmed/8448193  Anschutz et al., 1993]). <br />Only one alpha subunit has been identified in ''Dictyostelium'' ([http://www.ncbi.nlm.nih.gov/pubmed/7771809  Birney and Klein, 1995]). However, two beta subunits are present in the ''Dictyostelium'' genome; [/gene/DDB_G0274449 scsB] is the ortholog of GDP-forming succinyl-CoA ligase beta subunits () and [/gene/DDB_G0271842 scsC] is highly similar to known ADP-forming succinyl-CoA ligase beta subunits ().Gene has been comprehensively annotated, 27-JAN-2005 PF
DDB_G0270814	Karen Kestin	The NIMA (<u>n</u>ever <u>i</u>n <u>m</u>itosis) family of serine/threnonine protein kinases ([/ontology/go/0004674/annotation/page/1 protein serine/threonine kinase activity]) wereoriginally identified in mitotic mutants of the fungus ''Aspergillus nidulans''. NIMA-related kinases havebeen cloned in several vertebrates, however, ''nek2'' represents the first identified non-vertebrate Nek2 kinase [http://www.ncbi.nlm.nih.gov/pubmed/11956323 (Graf 2002)].<br />[http://www.ncbi.nlm.nih.gov/pubmed/11956323 Graf (2002)] demostrates that ''Dictyostelium'' Nek2 localizes to the microtubule-organizing centers (MTOCs) ([/ontology/go/0005813/annotation/page/1 centrosome]), although acytoplasmic ([/ontology/go/0005737/annotation/page/1 cytoplasm]) pool of Nek2 also exists, similar to its vertebrate counterpart. Overexpression of a ''GFP:nek2'' fusion constructresults in abnormal nuclear morphology and supernumerary MTOCs ([/ontology/go/0007098/annotation/page/1 centrosome cycle]). Overexpression of a series ofdeletion constructs results in a supernumerary MTOC phenotype only when the C-terminal domain is expressed and not when thecatalytic kinase domain alone is expressed. This implies a centrosome nucleation function for the C-terminal domain([http://www.ncbi.nlm.nih.gov/pubmed/11956323 Graf 2002]).Gene has been comprehensively annotated, 07-APR-2004 KP
DDB_G0267636	Pascale Gaudet	Members of the Myb family of transcription factors are typically composed of two orthree imperfect repeats each of about 50 amino acids. These repeats fold into a variant ofthe helix-turn-helix motif and bind DNA ([/ontology/go/0003677/annotation/page/1 DNA binding]). The Myb motif has been well conserved during evolution (see [http://www.ncbi.nlm.nih.gov/pubmed/10331990 Guo et al. 1999] and references therein).Gene has been comprehensively annotated, 07-MAY-2004 PG
DDB_G0270836	Pascale Gaudet	Fructose 1,6-bisphosphatase hydrolyses D-fructose 1,6-bisphosphate to D-fructose 6-phosphate and phosphate ([/ontology/go/0004331/annotation/page/1 fructose-2,6-bisphosphate 2-phosphatase activity]). Inositol polyphosphate 1-phosphatase, inositol monophosphate phosphatase, and fructose 1,6-bisphosphatase share a sequence motif, Asp-Pro-(Ile or Leu)-Asp-(Gly or Ser)-(Thr or Ser), that has been shown by crystallographic and mutagenesis studies to bind metal ions and participate in catalysis [http://www.ncbi.nlm.nih.gov/pubmed/7761465 (York et al. 1995)]. <br />The ''Dictyostelium'' [/gene/DDB_G0270836 fbp] and [/gene/DDB_G0291648 lpd] protein sequences have been used in a phylogenetic analysisthat studied gene transfer between parasitic organisms and their hosts [http://www.ncbi.nlm.nih.gov/pubmed/15003488 (Huang et al. 2004)]. Gene has been comprehensively annotated, 03-MAY-2004 PG
DDB_G0271094	Petra Fey	Fah is an enzyme with [/ontology/go/4334/annotation/page/1 fumarylacetoacetase activity], which catalyzes the last step during [/ontology/go/6572/annotation/page/1 tyrosine catabolic process]. The ''Dictyostelium'' enzyme is 59% identical to the human FAH where deficiency in this enzyme causes Tyrosinemia type I, an inborn metabolism error.Gene has been comprehensively annotated, 16-MAR-2005 PF
DDB_G0271564	Karen Kestin	The net reaction of the pyruvate dehydrogenase complex converts pyruvate into acetyl-CoA, which then enters the tricarboxylic acidcycle (TCA). The complex contains three enzymes, E1, E2, and E3. E1 is a pyruvate dehydrogenase () that consists ofan alpha subunit [/gene/DDB_G0292994 pdhA] and a beta subunit [/gene/DDB_G0276417 pdhB]. E2 ([/gene/DDB_G0277847 pdhC]) forms the core of thecomplex and possesses dihydrolipoamide acetyltransferase activity ([/ontology/go/0004742/annotation/page/1 dihydrolipoyllysine-residue acetyltransferase activity]). The E3 enzyme [/gene/DDB_G0291648 lpd] is adihydrolipoyl dehydrogenase ([/ontology/go/0004148/annotation/page/1 dihydrolipoyl dehydrogenase activity]) that is shared by three 2-oxoacid dehydrogenase complexes and the glycine cleavage system. In addition, the pyruvatedehydrogenase complex contains component X ([/gene/DDB_G0271564 pdhX]) that binds E3 ([/ontology/go/0005515/annotation/page/1 protein binding]) and has an apparent structural rolein the complex (reviewed in [http://www.ncbi.nlm.nih.gov/pubmed/9399911 Aral et al. 1997]).Gene has been comprehensively annotated, 01-DEC-2004 KP
