"Gene ID",Notes
DDB_G0267194,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 04-NOV-2010 PF"
DDB_G0267196,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 04-NOV-2010 PF"
DDB_G0267198,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 04-NOV-2010 PF"
DDB_G0267216,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 21-DEC-2010 PF"
DDB_G0267218,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-JAN-2011 PF"
DDB_G0267220,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-JAN-2011 PF"
DDB_G0267222,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-JAN-2011 PF"
DDB_G0267224,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-JAN-2011 PF"
DDB_G0267226,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-JAN-2011 PF"
DDB_G0267286,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 24-MAY-2011 PF"
DDB_G0267306,"Note: this gene is either polycistronic or the gene model is incorrect. "
DDB_G0267344,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 29-NOV-2010 PF"
DDB_G0267346,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 29-NOV-2010 PF"
DDB_G0267366,"Note that the intron in this gene is not supported and is present to keep the ORF in frame"
DDB_G0267374,"In PMID: 8643615 there are 2 loci that seem to represent the same gene: acpA on Chromosome 1 and abpE on Chromosome 3.  A newly characterized gene on Chromosome 2 has been named abpE.","The sequences from the Sequencing Center and GenBank record M25131 are identical."
DDB_G0267376,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF153362, resulting in 1 amino acid substitution at position 1936."
DDB_G0267378,"The sequences from the Sequencing Center and GenBank record AB032841 are identical."
DDB_G0267380,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U23957, however, the sequence from the Sequencing Center has been verified."
DDB_G0267382,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record X61480, however, the sequence from the Sequencing Center has been verified."
DDB_G0267384,"The sequences from the Sequencing Center and GenBank record AF144717 are identical."
DDB_G0267386,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record U27536, however, the sequence from the Sequencing Center has been verified.","There are 12 amino acid discrepancies between the sequence from the Sequencing Center and the sequence in GenBank records HB892172, HB906880, HB909124, HB920326, HB929059, HB945457,  HC949581, HC964289, HC966533, HC977735, HC986468, and HD002867."
DDB_G0267388,"There is 1 nt difference and 1 gap between the sequence from the Sequencing Center and the sequence in GenBank record AF081798, resulting in 1 amino acid substitution at position 174 and a frameshift between residues 166 and 169."
DDB_G0267390,"The Curated Model is based on GenBank record AB007024, which predicts 5 exons, whereas the Sequencing Center Gene Prediction has only 4 exons.  There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AB007024, however, the sequence from the Sequencing Center has been verified."
DDB_G0267392,"The sequences from the Sequencing Center and GenBank record AF079446 are identical."
DDB_G0267394,"The sequences from the Sequencing Center and GenBank record AF081802 are identical."
DDB_G0267396,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AB037280; the encoded proteins are identical."
DDB_G0267398,"The sequences from the Sequencing Center and GenBank record L04286 are identical."
DDB_G0267400,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record L43591, however, the sequence from the Sequencing Center has been verified."
DDB_G0267402,"Note that there are two different sets of 5' ESTs, indicating that there are two different transcripts for this gene."
DDB_G0267404,"The sequences from the Sequencing Center and GenBank record AY484461 are identical."
DDB_G0267406,"The sequences from the Sequencing Center and GenBank record AF124329 are identical."
DDB_G0267408,"There is a 6 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U61988 resulting in 4 amino acid substitutions at positions 178, 180, 221, and 235.","There is one amino acid difference between the sequence from the Sequencing Center and the sequence in GenBank record HB870781.","There are three amino acid differences between the sequence from the Sequencing Center and the sequence in GenBank record HC928190."
DDB_G0267410,"The sequences from the Sequencing Center and GenBank record AF038919 are identical. The sequence from GenBank is 9 nt shorter on the 5' end."
DDB_G0267412,"Gene product recognized by the MUD1 monoclonal antibody (see PubMed 3243026)","There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank records M20909 and X15980, however, the sequence from the Sequencing Center has been verified."
DDB_G0267414,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U77066, resulting in 3 amino acid substitutions at positions 19, 20, and 21, due to 2 frameshifts."
DDB_G0267416,"The sequences from the Sequencing Center and GenBank records AF361480 and AY040092 are identical."
DDB_G0267418,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record M19937, however, the sequence from the Sequencing Center has been verified."
DDB_G0267420,"The coding sequence in GenBank record AF092899 is 4 nt shorter on the 5? end than the coding sequence from the Sequencing Center. The sequences from the Sequencing Center and GenBank record AF092899 are otherwise identical."
DDB_G0267422,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF079445, resulting in 2 amino acid substitutions at positions 10 and 1864."
DDB_G0267424,"The sequences from the Sequencing Center and GenBank record AB089904 are identical."
DDB_G0267426,"The sequences from the Sequencing Center and GenBank record AY124377 are identical."
DDB_G0267428,"The sequences from the Sequencing Center and GenBank record AF482961 are identical."
DDB_G0267430,"The sequences from the Sequencing Center and GenBank record AF482397 are identical."
DDB_G0267432,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF482393, resulting in a 1 amino acid substitution at position 15."
DDB_G0267434,"There is 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF479256, resulting in 1 amino acid substitution at position 533."
DDB_G0267436,"The sequences from the Sequencing Center and GenBank record AF479256 are identical."
DDB_G0267438,"The sequences from the Sequencing Center and GenBank record AF465304 are identical."
DDB_G0267440,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF238325 resulting in 1 amino acid substitution at position 5."
DDB_G0267442,"The sequences from the Sequencing Center and GenBank record AB071894 are identical."
DDB_G0267444,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AJ318760 resulting in 1 amino acid substitution at position 604."
DDB_G0267446,"There is a 2 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AJ301668 resulting in 2 amino acid substitutions at positions 80 and 165.","The two transcripts have been identified by Northern and confirmed by 5'RACE (PMID:11352578)"
DDB_G0267448,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AF308470, however, the sequence from the Sequencing Center has been verified."
DDB_G0267450,"An artificial 3 nt gap has been introduced in the first exon to make the best possible curated model; the genomic sequence contains a stop codon where a Glu residue should be as shown by ESTs and mRNA record AF277804; <b>the correct protein sequence can be found on the community annotation page.</b>"
DDB_G0267452,"The sequences from the Sequencing Center and GenBank record AF214118 are identical."
DDB_G0267454,"The sequences from the Sequencing Center and GenBank record AF100676 are identical."
DDB_G0267456,"The sequences from the Sequencing Center and GenBank record U55379 are identical."
DDB_G0267458,"There are 3 nt differences between the sequence from the Sequencing Center and the sequence in GenBank record X16523, resulting in 1 amino acid substitution at position 51.","There is a discrepancy between the genome sequence and the EST ddc1d12 (DDB0112733) creating an incorrect stop codon. A 1 nt intron was introduced to correct this error. "
DDB_G0267460,"The sequences from the Sequencing Center and GenBank records AY221170 and AY221171 are identical."
DDB_G0267462,"The sequences from the Sequencing Center and GenBank record AY184995 are identical."
DDB_G0267464,"The sequences from the Sequencing Center and GenBank record AY170439 are identical."
DDB_G0267466,"There is a 6 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AY282574, resulting in a 4 amino acid substitution at positions 116, 164, 217, and 233. The Sequencing Center predicts a second exon but the Curated Model is supported by experimental evidence (B. Coukell, pers. comm. to dictyBase)."
DDB_G0267468,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AJ534951, resulting in 1 amino acid substitution at position 273, with respect to the protein predicted by GenBank record AJ534951."
DDB_G0267470,"There is a 4 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AJ548836 resulting in 1 amino acid substitution at position 538."
DDB_G0267472,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AY232269, resulting in 1 amino acid substitution at position 16, with respect to the protein predicted by GenBank record AY232269."
DDB_G0267474,"The sequences from the Sequencing Center and GenBank record AY387647 are identical."
DDB_G0267476,"The sequence in GenBank record AY392438 starts 9 nt upstream from that of the Sequencing Center model. The sequences are identical."
DDB_G0267662,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 11-JAN-2011 RD"
DDB_G0267672,"At the translation start, the genomic sequence contains a GTG instead of an ATG as derived from unpublished AX4 reference sequence (Gareth Bloomfield, private communication); this results in a Val residue in place of a Met at the beginning of the protein sequence. 02-MAY-2011 PF"
DDB_G0267802,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 11-MAY-2011 PF"
DDB_G0267920,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 17-JAN-2011 RD"
DDB_G0267946,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 25-JAN-2011 RD"
DDB_G0267966,"There is a 3 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF545064, resulting in 3 amino acid substitutions at positions 68, 234, and 532."
DDB_G0267970,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 29-DEC-2010 RD"
DDB_G0267988,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 05-JAN-2011 RD"
DDB_G0268004,"EST DDB0081986 provides evidence for a different gene model, however, the Gene Prediction is supported by sequence similarity."
DDB_G0268046,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 22-DEC-2010 PF"
DDB_G0268050,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 01-FEB-2011 PF"
DDB_G0268082,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 27-JAN-2011 RD"
DDB_G0268144,"The sequences from the Sequencing Center and GenBank record AY672633 are identical."
DDB_G0268202,"An artificial 3 nt gap has been introduced in the curated model to create the best possible open reading frame; ESTs show there is a C to T change in the chromosomal sequence leading to a premature stop; the resulting protein sequence is missing one glutamine residue at position 65. <b>The correct protein sequence can be found on the <a href=""http://wiki.dictybase.org/dictywiki/index.php/DDB_G0268202"">community annotation</a> page.</b>"
DDB_G0268258,"The sequences from the Sequencing Center and GenBank record AY484465 are identical."
DDB_G0268280,"Note, the first intron of this gene model is uncharacteristically short at 55 nt; please use this gene model with caution! 24-AUG-2011 RD "
DDB_G0268290,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-APR-2011 RD"
DDB_G0268298,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 28-DEC-2010 PF"
DDB_G0268300,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-FEB-2011 RD"
DDB_G0268324,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 02-MAY-2011 PF"
DDB_G0268326,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 02-MAY-2011 PF"
DDB_G0268364,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 31-JAN-2011 RD"
DDB_G0268370,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 13-DEC-2010 PF"
DDB_G0268412,"There is a non-consensus splice acceptor at the 5th intron, which is GgT in the genomic sequence, but AgT in unpublished AX4 reference sequence (private communication G. Bloomfield) and as revealed by an EST. The sequence discrepancy does not affect the protein sequence. 27-APR-2011 PF"
DDB_G0268472,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record AY214338, however, the sequence from the Sequencing Center has been verified."
DDB_G0268492,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-APR-2011 RD"
DDB_G0268506,"Based on similarity, an artificial 2 nt gap was introduced to compensate for a frameshift in the sequence of this gene. "
DDB_G0268542,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 19-APR-2011 RD"
DDB_G0268592,"In addition to the three splice variants resulting in different protein products, ESTs show there are also two different introns in the 5' UTR of the gene, resulting in a forth splice variant for this gene."
DDB_G0268602,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 12-APR-2011 RD"
DDB_G0268604,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 06-JAN-2011 RD"
DDB_G0268618,"The coding sequence in GenBank record U78757 starts 74 nt downstream of the coding sequence predicted by the Sequencing Center. There is also a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U78757, the encoded proteins are identical."
DDB_G0268620,"The sequences from the Sequencing Center and GenBank record U15210 are identical."
DDB_G0268622,"The sequences from the Sequencing Center and GenBank record AF310884 are identical. "
DDB_G0268624,"The sequences from the Sequencing Center and GenBank record AF310884 are identical."
DDB_G0268626,"The sequences from the Sequencing Center and GenBank record AF310884 are identical."
DDB_G0268628,"There is a 6 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF136753 resulting in 2 amino acid substitutions at positions 5 and 262 and 1 amino acid insertion at position 201."
DDB_G0268630,"There is a 1 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record AF069757 resulting in 1 amino acid substitution at position 39."
DDB_G0268632,"There is a discrepancy between the sequence from the Sequencing Center and the sequence in GenBank record Y00689, however, the sequence from the Sequencing Center has been verified."
DDB_G0268636,"The sequences from the Sequencing Center and GenBank record AY232273 are identical."
DDB_G0268638,"The sequences from the Sequencing Center and GenBank record AJ581661 are identical."
DDB_G0268684,"An artificial 2 nt gap has been introduced in the curated model to create the best possible open reading frame."
DDB_G0268692,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 09-MAY-2011 PF"
DDB_G0268708,"Note that the long transcript (DDB0349163) contains a non consensus splice acceptor at the end of its 4th intron, where the genomic sequence is aaA, while reference AX4 sequence (private communication G. Bloomfield) and EST DDB0037589 suggest it should be agA. 19-APR-2011 PF"
DDB_G0268710,"Two artificial gaps had to be introduced in this curated model for the best open reading frame, partially supported by reference AX4 sequence (G. Bloomfield, unpublished). Use gene model with caution!  06-MAY-2011 PF"
DDB_G0268738,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 24-JAN-2011 PF"
DDB_G0268830,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 14-DEC-2010 PF"
DDB_G0268834,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-JAN-2011 PF","This gene seems like it should be merged with DDB_G0269010 and DDB_G0269012 as there is high expression, but there is no open reading frame or recognizable single gene structure; the genomic sequence has been confirmed."
DDB_G0268860,"There is a discrepancy between the sequence from the Sequencing Center and the in Swiss Prot protein record Q7M3S9, resulting in 2 amino acid substitutions at positions 253 and 850."
DDB_G0268884,"Note regarding this sequence: There are two ESTs that read through the intron, but it is not possible to make an in-frame gene model without the intron. "
DDB_G0268906,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 17-JAN-2011 RD"
DDB_G0268920,"Note, the curated model was created from information in PMID 23577638 where it was determined that this gene contains two exons (and one intron) in the 5' UTR. The last nucleotide in the 2nd UTR exon provides the A for the start codon, which is completed with the TG in the next exon  (representing the CDS). However, database constraints did not allow for a single nucleotide exon at the 5' end and 3 upstream nucleotides (AAA) needed to be added to create an in-frame sequence. This currently results in an extra amino acid (K) preceding the actual N-terminal M residue. The correct protein sequence starts with a Methionine and is 1,048 aa long; UniProt record Q55F37 contains the correct sequence. 21-NOV -2013 PF"
DDB_G0268948,"The N-terminus has been determined by mass spectrometric identification of the N-terminal acetylation site [private communication,  Willy Bienvenut]; ESTs suggest an intron exists in the 3' UTR of this gene."
DDB_G0268964,"Note, an artificial 1 nt gap has been introduced in the curated model to compensate for a premature stop codon due to a frame shift; the accurate sequence immediately surrounding the gap can currently not be determined."
DDB_G0268974,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 22-DEC-2010 RD"
DDB_G0268984,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 24-JAN-2011 PF","Note, from EST expression this gene looks like it should be merged with its neighbor DDB_G0269080, however, the ESTs confirm the genomic sequence and do not produce one open reading frame."
DDB_G0269010,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-JAN-2011 PF","This gene seems like it should be merged with DDB_G0268834 and DDB_G0269012 as there is high expression, but there is no open reading frame or recognizable single gene structure; the genomic sequence has been confirmed."
DDB_G0269012,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-JAN-2011 PF","This gene seems like it should be merged with DDB_G0269010 and DDB_G0268834 as there is high expression, but there is no open reading frame or recognizable single gene structure; the genomic sequence has been confirmed."
DDB_G0269028,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 06-APR-2011 RD"
DDB_G0269034,"The sequences from the Sequencing Center and GenBank record AY466382 are identical."
DDB_G0269040,"The first and second exons of the Curated model are longer than that of the Gene Prediction. "
DDB_G0269044,"A 2 nucleotide artificial gap has been introduced to create an open reading frame for this gene"
DDB_G0269066,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-JAN-2011 PF"
DDB_G0269068,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 07-JUN-2011 PF"
DDB_G0269070,"An intron exists in the 5'UTR of this gene, as evidenced by ESTs."
DDB_G0269072,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 24-JAN-2011 PF"
DDB_G0269074,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 20-DEC-2010 PF"
DDB_G0269080,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 24-JAN-2011 PF","Note, from EST expression this gene looks like it should be merged with its neighbor DDB_G0268984, however, the ESTs confirm the genomic sequence and do not produce one open reading frame."
DDB_G0269088,"This gene has been inspected by a curator, but there is currently inadequate support to make a curated model. 14-JAN-2011 PF"
DDB_G0269100,"The sequences from the Sequencing Center and GenBank record X15430 are identical."
DDB_G0269102,"The sequences from the Sequencing Center and GenBank record AF095933 are identical."
DDB_G0269104,"The sequences from the Sequencing Center and GenBank record AF001981 are identical."
DDB_G0269106,"There is a 3 nt difference between the sequence from the Sequencing Center and the sequence in GenBank record U66368 resulting in 2 amino acid substitutions at positions 88 and 90."
DDB_G0269108,"The sequences from the Sequencing Center and GenBank record AY386221 are identical."
